Read Group Name GATK,Paivi Sample Name for Libraries
P15_BC8_sorted_rg,CU-46-1
P15_BC9_sorted_rg,AU-7-2
P16_BC10_sorted_rg,CU-68-1
P16_BC11_sorted_rg,EL-71-2
P16_BC12_sorted_rg,CL-4-3
P16_BC13_sorted_rg,EL-69-1
P16_BC14_sorted_rg,AL-7-6
P16_BC15_sorted_rg,AL-3-8
P16_BC16_sorted_rg,CU-59-2
P16_BC17_sorted_rg,EL-91-1
P16_BC18_sorted_rg,CL-39-1
P16_BC19_sorted_rg,EL-78-2
P16_BC1_sorted_rg,EU-90-2
P16_BC20_sorted_rg,CU-19-1
P16_BC21_sorted_rg,EL-39-1
P16_BC22_sorted_rg,EU-56-1
P16_BC23_sorted_rg,AU-1-2
P16_BC24_sorted_rg,CU-10-3
P16_BC25_sorted_rg,EU-45-3
P16_BC26_sorted_rg,EU-27-2
P16_BC27_sorted_rg,CU-60-1
P16_BC28_sorted_rg,AU-9-5
P16_BC29_sorted_rg,CL-35-1
P16_BC2_sorted_rg,SNB-15
P16_BC30_sorted_rg,CU-10-1
P16_BC31_sorted_rg,AL-7-7
P16_BC32_sorted_rg,AU-7-7
P16_BC33_sorted_rg,EL-61-2
P16_BC34_sorted_rg,CU-18-2
P16_BC35_sorted_rg,AU-10-5
P16_BC36_sorted_rg,AU-8-1
P16_BC37_sorted_rg,EU-88-1
P16_BC38_sorted_rg,EU-54-1
P16_BC39_sorted_rg,EU-27-1
P16_BC3_sorted_rg,CL-52-2
P16_BC40_sorted_rg,EL-74-1
P16_BC41_sorted_rg,CL-53-1
P16_BC42_sorted_rg,CU-48-2
P16_BC43_sorted_rg,EL-51-1
P16_BC44_sorted_rg,AL-8-6-G
P16_BC45_sorted_rg,CL-66-1
P16_BC46_sorted_rg,AL-10-6
P16_BC47_sorted_rg,CU-29-3
P16_BC48_sorted_rg,CU-8-1
P16_BC4_sorted_rg,AL-9-10
P16_BC5_sorted_rg,AL-4-2
P16_BC6_sorted_rg,EU-25-2
P16_BC7_sorted_rg,AL-7-8
P16_BC8_sorted_rg,AL-9-9
P16_BC9_sorted_rg,AU-10-2
P17_BC10_sorted_rg,AU-10-8
P17_BC11_sorted_rg,AU-1-8
P17_BC12_sorted_rg,EU-2-2
P17_BC13_sorted_rg,EU-32-1
P17_BC14_sorted_rg,AL-7-10
P17_BC15_sorted_rg,AU-8-3
P17_BC16_sorted_rg,EL-79-1
P17_BC17_sorted_rg,CL-32-1
P17_BC18_sorted_rg,PET-6
P17_BC19_sorted_rg,AU-7-6
P17_BC1_sorted_rg,CU-41-1
P17_BC20_sorted_rg,CU-24-2
P17_BC21_sorted_rg,EU-84-1
P17_BC22_sorted_rg,AL-7-5
P17_BC23_sorted_rg,EL-23-2
P17_BC24_sorted_rg,CU-85-2
P17_BC25_sorted_rg,CL-31-1
P17_BC26_sorted_rg,AU-6-4
P17_BC27_sorted_rg,AU-9-3
P17_BC28_sorted_rg,CU-64-1
P17_BC29_sorted_rg,AU-11-5
P17_BC2_sorted_rg,CU-29-1
P17_BC30_sorted_rg,EU-29-2
P17_BC31_sorted_rg,CU-29-2
P17_BC32_sorted_rg,EU-7-3
P17_BC33_sorted_rg,EL-95-2
P17_BC34_sorted_rg,CU-52-1
P17_BC35_sorted_rg,AL-10-7
P17_BC36_sorted_rg,EU-45-1
P17_BC37_sorted_rg,EU-44-3
P17_BC38_sorted_rg,AL-2-7
P17_BC39_sorted_rg,EL-57-2
P17_BC3_sorted_rg,EU-90-1
P17_BC40_sorted_rg,EL-99-1
P17_BC41_sorted_rg,EU-27-3
P17_BC42_sorted_rg,EU-77-2
P17_BC43_sorted_rg,AU-6-2
P17_BC44_sorted_rg,CL-3-1
P17_BC45_sorted_rg,EL-76-2
P17_BC46_sorted_rg,CL-17-3
P17_BC47_sorted_rg,EU-81-2
P17_BC48_sorted_rg,CU-61-2
P17_BC4_sorted_rg,CL-27-2
P17_BC5_sorted_rg,EU-44-1
P17_BC6_sorted_rg,AL-10-4
P17_BC7_sorted_rg,EU-24-1
P17_BC8_sorted_rg,AU-2-1
P17_BC9_sorted_rg,CU-30-3
P18_BC10_sorted_rg,CU-23-1
P18_BC11_sorted_rg,AU-28-2
P18_BC12_sorted_rg,CU-33-1
P18_BC13_sorted_rg,CU-62-2
P18_BC14_sorted_rg,CL-11-2
P18_BC15_sorted_rg,AU-12-5
P18_BC16_sorted_rg,AU-11-3
P18_BC17_sorted_rg,EL-49-2
P18_BC18_sorted_rg,CU-16-1-1R
P18_BC19_sorted_rg,EL-32-2
P18_BC1_sorted_rg,EU-19-3
P18_BC20_sorted_rg,AU-3-8
P18_BC21_sorted_rg,CL-64-2
P18_BC22_sorted_rg,AU-12-3
P18_BC23_sorted_rg,AL-8-3
P18_BC24_sorted_rg,EU-39-2
P18_BC25_sorted_rg,CL-23-3
P18_BC26_sorted_rg,CL-30-1
P18_BC27_sorted_rg,CU-5-1
P18_BC28_sorted_rg,EU-73-2
P18_BC29_sorted_rg,AU-6-1
P18_BC2_sorted_rg,EL-41-2
P18_BC30_sorted_rg,CL-30-3
P18_BC31_sorted_rg,CU-11-2
P18_BC32_sorted_rg,EL-80-2
P18_BC33_sorted_rg,AL-6-3
P18_BC34_sorted_rg,CU-50-1
P18_BC35_sorted_rg,EU-50-3
P18_BC36_sorted_rg,EL-92-2
P18_BC37_sorted_rg,EU-54-2
P18_BC38_sorted_rg,AL-8-7
P18_BC39_sorted_rg,EU-91-2
P18_BC3_sorted_rg,EU-72-1
P18_BC40_sorted_rg,AL-6-6
P18_BC4_sorted_rg,EU-39-3
P18_BC5_sorted_rg,EU-20-3
P18_BC6_sorted_rg,EL-16-3
P18_BC7_sorted_rg,SHL-17
P18_BC8_sorted_rg,CU-47-1
P18_BC9_sorted_rg,CU-25-1
P1_BC10_sorted_rg,AL-8-2
P1_BC11_sorted_rg,CL-61-1
P1_BC12_sorted_rg,TRT-5
P1_BC13_sorted_rg,AL-1-7
P1_BC14_sorted_rg,CL-35-3
P1_BC15_sorted_rg,CL-18-1
P1_BC16_sorted_rg,CL-32-2
P1_BC17_sorted_rg,AL-7-3
P1_BC18_sorted_rg,AU-8-5
P1_BC19_sorted_rg,EL-21-2
P1_BC1_sorted_rg,AU-4-4
P1_BC20_sorted_rg,AL-9-5
P1_BC21_sorted_rg,SNB-7
P1_BC22_sorted_rg,AU-4-2
P1_BC23_sorted_rg,EU-52-1
P1_BC24_sorted_rg,EU-12-3
P1_BC25_sorted_rg,EU-15-3
